,total_pop,housing_units,occupied_housing_units,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,two_or_more,PCT0050002,PCT0050003,PCT0050004,PCT0050005,PCT0050006,PCT0050007,PCT0050008,PCT0050009,PCT0050010,PCT0050011,PCT0050012,PCT0050013,PCT0050014,PCT0050015,PCT0050016,PCT0050017,PCT0050018,PCT0050019,PCT0050020,PCT0050021,PCT0050022,male,female,state,zipcode,median_income,median_age,under_18,above_18,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
23,65485,29594,25991,51453,1821,846,1809,118,7502,1936,695,0,0,14,9,275,418,7,16,76,79,2,2,0,2,18,9,30,100,2,34,32618,32867,04,85032.0,48608.0,35.2,15539,49191,85032,------,1611,878,327,203,138,42,19,4,0,0
24,53037,16046,13573,28819,2716,920,444,67,18109,1962,73,0,0,0,0,31,163,0,0,24,26,6,0,0,0,0,3,15,82,0,3,26504,26533,04,85033.0,35571.0,25,20177,32843,85033,------,391,163,96,62,46,15,8,1,0,0
25,5582,2062,1629,2850,636,202,59,3,1627,205,16,0,0,0,5,11,15,0,0,4,2,0,0,0,0,0,0,0,3,0,1,3014,2568,04,85034.0,24046.0,31.7,1713,3201,85034,------,1203,443,201,189,182,92,59,19,9,9
26,47486,14961,12592,20665,2739,1087,429,67,20614,1885,40,0,0,37,1,82,105,3,2,15,30,5,3,0,4,0,0,4,75,0,11,23606,23880,04,85035.0,34636.0,24.5,17749,29729,85035,------,234,90,57,33,33,11,9,1,0,0
27,44771,14660,12774,23343,3556,763,1349,70,13683,2007,165,4,0,0,13,174,413,0,2,48,50,13,0,0,13,1,6,37,334,3,41,22244,22527,04,85037.0,50224.0,26.8,15662,29079,85037,------,305,151,61,44,30,12,5,0,1,1
28,29352,10446,8666,10315,6054,732,439,153,10354,1305,53,3,0,3,27,88,149,0,0,12,8,0,0,1,2,2,2,3,59,1,20,14881,14471,04,85040.0,32133.0,27.5,10096,19186,85040,------,1359,433,248,236,229,125,61,20,6,1
29,54947,17226,15395,25122,7831,1333,1501,111,16570,2479,236,28,0,17,69,173,371,1,6,38,81,25,0,18,20,0,9,16,319,0,21,27099,27848,04,85041.0,47199.0,28,18853,36072,85041,------,350,168,88,40,42,6,5,1,0,0
30,40962,14698,13247,19377,7076,1055,974,102,10711,1667,240,8,0,7,34,115,220,0,11,32,50,13,0,2,42,4,3,14,107,1,36,20390,20572,04,85042.0,46676.0,30.8,12063,28422,85042,------,398,208,72,47,47,16,6,2,0,0
31,30560,9443,8240,14633,2844,648,672,35,10539,1189,100,13,6,0,40,53,183,1,2,11,15,34,0,0,11,0,1,14,141,1,14,15068,15492,04,85043.0,43895.0,25.7,11558,19001,85043,------,789,223,125,139,147,83,40,20,7,5
32,37993,18246,16978,29788,2490,857,1890,78,1499,1391,550,11,0,10,16,284,327,0,24,151,227,10,7,13,37,0,29,22,114,1,18,18647,19346,04,85044.0,70860.0,37.9,7969,29958,85044,------,975,537,146,128,92,36,22,9,5,0
